기준년월,유통기한사용여부,유해상품차단여부,식품여부,기부물품대분류코드,기부물품중분류코드,기부물품수량,장부금액
201701,Y,N,N,일상용품,애완용품,0,0
201701,Y,N,N,의약품/의료용품,의약품,0,0
201701,Y,N,N,기타상품,기타,0,0
201702,N,Y,N,기타상품,기타,0,0
201702,N,Y,Y,스포츠용품,조미료,0,0
201702,N,N,Y,스포츠용품,기타가공식품,21234,34392265
201702,N,N,Y,신선식품,농산물,495,594000
201702,N,Y,Y,신선식품,농산물,0,0
201702,N,N,Y,신선식품,축산물,0,0
201702,N,Y,Y,신선식품,축산물,0,0
201702,N,N,Y,신선식품,수산물,0,0
201702,N,N,Y,신선식품,축산물(냉동),0,0
201702,N,N,Y,신선식품,수산물(냉동),0,0
201702,N,N,Y,신선식품,신선식품세트류,0,0
201702,N,N,Y,신선식품,기타신선식품,8,49962.32
201702,N,N,N,일상용품,위생용품,722,1822601.77
201702,N,N,N,일상용품,일용잡화,0,0
201702,N,N,N,일상용품,화장품,0,0
201702,N,N,N,일상용품,DIY용품,0,0
201702,N,N,N,일상용품,기타일상용품,183,4575000
201702,N,N,N,가정용품,주방용품,17,30600
201702,N,N,N,가정용품,청소/욕실용품,22,526000
201702,N,N,N,가정용품,세탁용품,0,0
201702,N,N,N,가정용품,생활용품,39,249600
201702,N,N,N,가정용품,침실용품,0,0
201702,N,N,N,가정용품,가정용품세트류,0,0
201702,N,N,N,가정용품,기타가정용품,305,8337500
201702,N,N,N,의약품/의료용품,의약품,0,0
201702,N,N,N,의약품/의료용품,의료용품,0,0
201702,N,N,N,문화용품,문구/사무용품,0,0
201702,N,N,N,문화용품,완구,0,0
201702,N,N,N,문화용품,서적,0,0
201702,N,N,N,문화용품,기타 문화용품,0,0
201702,N,N,N,내구소비재,가전,0,0
201702,N,N,N,내구소비재,가구,0,0
201702,N,N,N,내구소비재,자동차용품,0,0
201702,N,N,N,내구소비재,기타 내구소비재,0,0
201702,N,N,N,의류/패션잡화,의류,489,5595235.68
201702,N,N,N,의류/패션잡화,패션잡화,563,5630000
201702,N,N,N,의류/패션잡화,신발,0,0
201702,N,N,N,의류/패션잡화,언더웨어/양말,0,0
201702,N,N,N,의류/패션잡화,기타의류/잡화,0,0
201702,N,N,N,,헬스용품,0,0
201702,N,N,N,,레저스포츠용품,0,0
201702,N,N,N,기타상품,기타,0,0
201702,N,N,Y,스포츠용품,조미료,200,900000
201702,N,N,Y,스포츠용품,유제품,0,0
201702,N,N,Y,스포츠용품,축산가공식품,0,0
201702,N,Y,Y,스포츠용품,축산가공식품,0,0
201702,N,N,Y,스포츠용품,수산가공식품,0,0
201702,N,N,Y,스포츠용품,대용식기타,0,0
201702,N,N,Y,스포츠용품,통조림/병,0,0
201702,N,N,Y,스포츠용품,냉동식품,0,0
201702,N,N,Y,스포츠용품,절임/발효식품,0,0
201702,N,Y,Y,스포츠용품,절임/발효식품,0,0
201702,N,N,Y,스포츠용품,어육/연식품류,0,0
201702,N,N,Y,스포츠용품,분말류,0,0
201702,N,N,Y,스포츠용품,즉석/편의식품,50,75000
201702,N,Y,Y,스포츠용품,즉석/편의식품,0,0
201702,N,N,Y,스포츠용품,유아식품,0,0
201702,N,N,Y,스포츠용품,건강식품,307,7278970
201702,N,N,Y,스포츠용품,과자류,3074,5158925.68
201702,N,N,Y,스포츠용품,음료류,1501,661280.56
201702,N,N,Y,스포츠용품,농산물가공식품,0,0
201702,N,N,Y,스포츠용품,급식류,0,0
201702,N,N,Y,스포츠용품,도시락류,0,0
201702,N,N,Y,스포츠용품,가공식품세트류,0,0
201702,N,N,Y,스포츠용품,대용식(빵),0,0
201702,N,Y,Y,스포츠용품,대용식(빵),0,0
201702,Y,N,Y,스포츠용품,조미료,241,825962
201702,Y,Y,Y,스포츠용품,조미료,0,0
201702,Y,N,Y,스포츠용품,급식류,0,0
201702,Y,N,Y,스포츠용품,유제품,0,0
201702,Y,N,Y,스포츠용품,유가공품,0,0
201702,Y,Y,N,일상용품,위생용품,0,0
201702,Y,N,Y,스포츠용품,축산가공식품,0,0
201702,Y,Y,Y,스포츠용품,축산가공식품,0,0
201702,Y,N,Y,스포츠용품,도시락류,0,0
201702,Y,N,Y,스포츠용품,수산가공식품,0,0
201702,Y,Y,Y,스포츠용품,수산가공식품,0,0
201702,Y,N,Y,신선식품,축산물(냉동),0,0
201702,Y,N,Y,스포츠용품,대용식기타,16299,8180533.2
201702,Y,Y,Y,스포츠용품,대용식기타,0,0
201702,Y,N,Y,스포츠용품,가공식품세트류,105,2489550
201702,Y,N,Y,스포츠용품,통조림/병,13,23400
201702,Y,Y,Y,스포츠용품,통조림/병,0,0
201702,Y,N,N,의약품/의료용품,의약품,0,0
201702,Y,N,Y,스포츠용품,냉동식품,0,0
201702,Y,N,Y,신선식품,수산물(냉동),0,0
201702,Y,N,Y,스포츠용품,대용식(빵),22371,26361797.31
201702,Y,N,Y,스포츠용품,절임/발효식품,17,77520
201702,Y,N,N,일상용품,일용잡화,0,0
201702,Y,N,Y,스포츠용품,어육/연식품류,0,0
201702,Y,N,Y,스포츠용품,기타가공식품,100,250000
201702,Y,N,Y,스포츠용품,분말류,0,0
201702,Y,N,Y,신선식품,신선식품세트류,0,0
201702,Y,N,N,일상용품,애완용품,0,0
201702,Y,N,Y,스포츠용품,즉석/편의식품,1148,2330533.34
201702,Y,Y,Y,스포츠용품,즉석/편의식품,0,0
201702,Y,N,Y,신선식품,농산물,10000,110000000
201702,Y,N,Y,스포츠용품,유아식품,1,74226.67
201702,Y,N,Y,신선식품,기타신선식품,0,0
201702,Y,N,Y,스포츠용품,건강식품,0,0
201702,Y,N,N,일상용품,화장품,0,0
201702,Y,N,Y,스포츠용품,과자류,99,179000
201702,Y,N,Y,신선식품,축산물,0,0
201702,Y,N,Y,스포츠용품,음료류,2221,1681755.54
201702,Y,N,N,일상용품,위생용품,117,342790
201702,Y,N,Y,스포츠용품,농산물가공식품,0,0
201702,Y,N,Y,신선식품,수산물,0,0
201703,N,N,Y,스포츠용품,조미료,213,387800
201703,N,N,Y,스포츠용품,가공식품세트류,0,0
201703,N,N,Y,스포츠용품,대용식(빵),100,300000
201703,N,N,Y,스포츠용품,기타가공식품,13970,24091594.48
201703,N,N,Y,신선식품,농산물,334,344000
201703,N,Y,Y,신선식품,농산물,0,0
201703,N,N,Y,신선식품,축산물,38,171000
201703,N,Y,Y,신선식품,축산물,0,0
201703,N,N,Y,신선식품,수산물,0,0
201703,N,N,Y,신선식품,축산물(냉동),0,0
201703,N,N,Y,신선식품,수산물(냉동),0,0
201703,N,N,Y,신선식품,기타신선식품,82,159966.42
201703,N,N,N,일상용품,위생용품,14,50000.02
201703,N,N,N,일상용품,일용잡화,818,2481000
201703,N,N,N,일상용품,화장품,19,57000
201703,N,N,N,일상용품,DIY용품,0,0
201703,N,N,N,일상용품,기타일상용품,29707,106736836.41
201703,N,N,N,가정용품,주방용품,69,278776.66
201703,N,N,N,가정용품,청소/욕실용품,4,12000
201703,N,N,N,가정용품,세탁용품,34,262600
201703,N,N,N,가정용품,생활용품,1980,14471118.98
201703,N,N,N,가정용품,침실용품,130,824036.2
201703,N,N,N,가정용품,가정용품세트류,0,0
201703,N,N,N,가정용품,기타가정용품,0,0
201703,N,N,N,의약품/의료용품,의약품,0,0
201703,N,N,N,의약품/의료용품,의료용품,0,0
201703,N,N,N,문화용품,문구/사무용품,3,8100
201703,N,N,N,문화용품,완구,0,0
201703,N,N,N,문화용품,서적,91,898000
201703,N,N,N,문화용품,기타 문화용품,0,0
201703,N,N,N,내구소비재,가전,0,0
201703,N,N,N,내구소비재,가구,0,0
201703,N,N,N,내구소비재,자동차용품,0,0
201703,N,N,N,의류/패션잡화,의류,2186,41617472.74
201703,N,N,N,의류/패션잡화,패션잡화,0,0
201703,N,N,N,의류/패션잡화,신발,84,5490289.86
201703,N,N,N,의류/패션잡화,언더웨어/양말,133,1064000
201703,N,N,N,의류/패션잡화,기타의류/잡화,0,0
201703,N,N,N,,헬스용품,0,0
201703,N,N,N,기타상품,기타,0,0
