지원센터코드,년,장부금액,장부수량,기부자수,기부건수,이용자수,제공건수,제공금액
부산사하기초푸드뱅크,2020,307906170.0,182524,305,3040,815,3667,342217561.09
부산사하기초푸드뱅크,2021,370948530.0,216775,324,3636,980,4340,387595094.46
부산사하기초푸드뱅크,2022,325526528.0,157939,320,3942,1717,7711,388467365.36
부산진구기초푸드마켓,2017,426625748.0,144804,159,478,17147,20425,1104326256.93
부산진구기초푸드마켓,2018,334525611.0,119478,124,650,14526,22827,909686848.95
부산진구기초푸드마켓,2019,422518656.0,160741,183,743,18338,26035,1010140905.77
부산진구기초푸드마켓,2020,286308147.0,94571,120,714,23359,32512,1192574112.52
부산진구기초푸드마켓,2021,224188622.0,68021,95,744,50745,87819,1130406377.69
부산진구기초푸드마켓,2022,348781832.0,93670,157,1110,43084,81201,1165398064.89
부산진구기초푸드뱅크,2017,277460696.0,117691,146,150,183,278,279111533.81
부산진구기초푸드뱅크,2018,243081035.0,115839,145,194,1417,1608,299090148.87
부산진구기초푸드뱅크,2019,262452374.0,110540,117,151,1723,1825,299427218.53
부산진구기초푸드뱅크,2020,196087806.0,99692,105,108,301,331,244207112.53
부산진구기초푸드뱅크,2021,225976937.0,94263,95,96,307,345,257237556.24
부산진구기초푸드뱅크,2022,241064191.0,97613,118,121,281,339,265288812.0
북구기초푸드마켓,2017,131769019.0,43542,162,2808,7660,10375,228570938.45
북구기초푸드마켓,2018,122640041.0,39016,150,2030,11940,20646,193425692.83
북구기초푸드마켓,2019,152478909.0,54350,93,1042,15408,17043,293596335.01
북구기초푸드마켓,2020,81783887.0,39667,57,153,6047,6578,124373440.63
북구기초푸드마켓,2021,110425207.0,46380,82,278,14325,16102,357508649.37
북구기초푸드마켓,2022,121096912.0,51743,99,405,23576,35724,351992975.02
북구기초푸드뱅크,2017,293900631.0,124589,305,4045,5783,55525,788223394.02
북구기초푸드뱅크,2018,352845316.0,157151,325,4863,7032,61053,1959864132.01
북구기초푸드뱅크,2019,396373776.0,179761,329,4244,6654,49178,1261767452.95
북구기초푸드뱅크,2020,227482358.0,76973,206,2469,5155,26444,743688506.83
북구기초푸드뱅크,2021,425118504.0,126442,267,3562,5605,47023,800669790.74
북구기초푸드뱅크,2022,362088631.0,101212,233,2843,4898,42385,631424293.7
사상구기초푸드마켓,2017,297472090.0,48928,384,1224,17650,23526,254544240.98
사상구기초푸드마켓,2018,235759964.0,36548,377,1065,22582,32181,363554893.35
사상구기초푸드마켓,2019,286671692.0,35271,282,593,18872,24865,482182559.36
사상구기초푸드마켓,2020,150520541.0,34603,182,378,8466,12762,283089317.03000003
사상구기초푸드마켓,2021,230351858.0,40196,149,890,14038,17269,766925773.58
사상구기초푸드마켓,2022,333466832.0,51818,144,635,19397,24142,562326526.02
사상구기초푸드뱅크,2017,138320350.0,68242,114,1804,3853,24115,131836150.0
사상구기초푸드뱅크,2018,151228050.0,73685,139,1939,5192,25503,153317449.4
사상구기초푸드뱅크,2019,142757900.0,63127,136,2039,4613,24474,173188706.87
사상구기초푸드뱅크,2020,29037900.0,19150,79,727,2362,8211,44258266.14
사상구기초푸드뱅크,2021,85452300.0,35962,104,1312,3295,16097,122119979.74000001
사상구기초푸드뱅크,2022,81507400.0,22509,118,1189,3189,14047,99488060.11
사하구기초푸드마켓,2017,131829002.0,49313,340,3924,19086,24565,138065079.2
사하구기초푸드마켓,2018,73472401.0,26899,244,2039,23706,31178,215075882.06
사하구기초푸드마켓,2019,106629321.0,45198,156,1422,17765,23647,193210309.71
사하구기초푸드마켓,2020,60093852.0,21794,56,96,12556,16702,198049672.32
사하구기초푸드마켓,2021,53642563.0,25222,64,107,18754,29668,188982349.60999998
사하구기초푸드마켓,2022,186599811.0,54547,83,133,24300,42029,308255832.34
서구기초푸드마켓,2017,335459205.5,50647,157,338,16745,21822,445596101.82
서구기초푸드마켓,2018,156833418.0,24152,140,790,17471,22884,262706771.8
서구기초푸드마켓,2019,163507414.0,17780,90,197,12605,14913,227034463.92000002
서구기초푸드마켓,2020,19294345.0,3537,16,49,5030,7422,173873295.29
서구기초푸드마켓,2021,134681046.0,165958,36,79,11154,13961,258799355.27
서구기초푸드마켓,2022,292657902.0,170459,43,200,14444,21491,530951836.43
서구기초푸드뱅크,2017,140363700.0,53505,89,275,508,605,278062785.95
서구기초푸드뱅크,2018,170760130.0,75171,87,262,462,553,270757424.39
서구기초푸드뱅크,2019,192742250.0,74721,105,288,462,529,268270461.24
서구기초푸드뱅크,2020,64954300.0,27337,52,184,227,243,80920022.03
서구기초푸드뱅크,2021,44114770.0,21955,50,87,325,439,113864639.85
서구기초푸드뱅크,2022,5688300.0,1479,15,18,404,640,91610316.44
수영구기초푸드마켓,2017,66500951.0,38923,99,319,13266,15492,139810568.89
수영구기초푸드마켓,2018,148718912.0,84373,41,279,9109,11131,196295663.8
수영구기초푸드마켓,2019,242445571.0,192271,39,364,8795,11447,188751886.9
수영구기초푸드마켓,2020,289087767.0,210700,35,348,8119,11762,301566284.13
수영구기초푸드마켓,2021,218474036.0,149289,39,307,8359,13670,213439971.64
수영구기초푸드마켓,2022,245138968.0,94487,55,284,16936,19775,333741815.1
수영구기초푸드뱅크,2017,90239220.0,32402,139,1153,1737,8184,142869703.95
수영구기초푸드뱅크,2018,111534110.0,36632,174,1518,2673,12110,255320943.91
수영구기초푸드뱅크,2019,149105110.0,40544,178,1546,4668,7968,188431116.02
수영구기초푸드뱅크,2020,60923370.0,15409,96,535,2356,3731,102840602.6
수영구기초푸드뱅크,2021,127482640.0,35186,192,1405,3872,8934,148947385.78
수영구기초푸드뱅크,2022,46114070.0,12244,119,567,1995,6073,68279612.21000001
연제구기초푸드마켓,2017,13763900.0,1756,33,111,119,169,1130450.0
연제구기초푸드마켓,2018,54277960.0,7526,21,145,3624,3929,251943320.47
연제구기초푸드마켓,2019,78487693.0,20332,108,190,5748,6518,708116994.49
연제구기초푸드마켓,2020,92172250.0,15544,95,220,3766,3926,210936287.52
연제구기초푸드마켓,2021,52873540.0,8723,89,104,3992,4034,144676979.37
연제구기초푸드마켓,2022,51151660.0,7533,150,241,4551,4737,198829506.1
연제구기초푸드뱅크,2017,86170720.0,26166,119,119,645,1182,503310762.46
연제구기초푸드뱅크,2018,110890030.0,36320,122,1092,369,1390,437240434.41
연제구기초푸드뱅크,2019,147072780.0,49285,147,1975,545,2642,341118920.15999997
연제구기초푸드뱅크,2020,151194890.0,53208,139,1661,443,3088,342727123.2
연제구기초푸드뱅크,2021,97394310.0,42709,134,1286,432,1545,124706525.83
연제구기초푸드뱅크,2022,128119600.0,47499,147,1205,415,1484,152487268.14
영도구기초푸드마켓,2017,62391833.0,22031,185,1115,9993,11867,133551772.59
영도구기초푸드마켓,2018,62536706.0,18306,38,1251,6993,8307,139279654.05
영도구기초푸드마켓,2019,134084242.0,51638,65,485,7122,9054,144726546.05
영도구기초푸드마켓,2020,104564785.0,272558,47,318,6813,10126,144506833.95
영도구기초푸드마켓,2021,67083346.0,19695,25,315,6547,7691,138993768.32
영도구기초푸드마켓,2022,80513190.0,20700,34,356,10496,19785,303407008.96
영도구기초푸드뱅크,2017,74420394.0,86534,64,87,24637,47481,135316432.46
영도구기초푸드뱅크,2018,80842212.0,31768,69,261,33987,46004,154913355.8
영도구기초푸드뱅크,2019,46990570.0,28575,59,265,24703,41078,74298325.43
영도구기초푸드뱅크,2020,65291600.0,23622,50,197,28695,40328,130384787.86
영도구기초푸드뱅크,2021,37601250.0,17050,48,195,20939,26856,90796268.72
영도구기초푸드뱅크,2022,47508900.0,25284,48,295,22283,37782,122987350.05
중구기초푸드마켓,2017,335437143.01,175265,432,13801,18607,31635,139864857.71
중구기초푸드마켓,2018,196697906.6,114640,212,10176,18599,36717,142941489.26
중구기초푸드마켓,2019,238602661.0,149702,222,10611,23319,41527,236700163.14000002
