지원센터코드,지원센터주소,년,접수금액,제공금액,인수금액,이관금액,이용자수,장부금액,장부수량,기부자수,기부건수,제공건수,사업장유형
동래구기초푸드뱅크,부산 동래구 명장2동,2020,126249091,227416966.9,115880471,0,117,126249091,40629,129,1508,1511,0
동래구기초푸드뱅크,부산 동래구 명장2동,2021,201757916,295437798,99651371,2100000,161,201757916,77118,187,2398,2285,0
부산사하기초푸드뱅크,부산 사하구 다대2동 96-1,2017,268372850,282723212.9,58449684,1350000,429,268372850,240285,207,1946,2432,0
부산사하기초푸드뱅크,부산 사하구 다대2동 96-1,2019,387308624,492975608.8,127652234,21985298,1588,387308624,154981,320,3214,5790,1
부산사하기초푸드뱅크,부산광역시 사하구 다송로 59,2020,307906170,342217561.1,45868701,8547800,449,307906170,182524,305,3040,3667,1
부산사하기초푸드뱅크,부산광역시 사하구 다송로 59,2021,370948530,387595094.5,76990267,60146505,552,370948530,216775,324,3636,4340,1
부산진구기초푸드마켓,부산광역시 부산진구 당감서로 16,2017,426625748,1104326257,614749810,3961922,6616,426625748,144804,159,478,20425,1
부산진구기초푸드마켓,부산광역시 부산진구 중앙대로 882,2019,422518656,1010140906,682199694,23751117,7113,422518656,160741,183,743,26035,1
부산진구기초푸드마켓,부산광역시 부산진구 중앙대로 882,2020,286308147,1192574113,1011101942,32433759,5983,286308147,94571,120,714,32512,1
부산진구기초푸드마켓,부산광역시 부산진구 중앙대로 882,2021,224188622,1130406378,891327461,23426710,8572,224188622,68021,95,744,87819,1
부산진구기초푸드뱅크,부산광역시 부산진구 당감서로 16,2017,277460696,279111533.8,67035708,0,180,277460696,117691,146,150,278,0
부산진구기초푸드뱅크,부산광역시 부산진구 당감서로 16,2019,262452374,299427218.5,42847420,0,1640,262452374,110540,117,151,1825,0
부산진구기초푸드뱅크,부산광역시 부산진구 당감서로 16,2020,196087806,244207112.5,44856672,0,208,196087806,99692,105,108,331,0
부산진구기초푸드뱅크,부산광역시 부산진구 당감서로 16,2021,225976937,257237556.2,30736147,0,239,225976937,94263,95,96,345,0
북구기초푸드마켓,부산 북구 덕천1동,2017,131769019,228570938.5,113608313,136481263,5872,131769019,43542,162,2808,10375,0
북구기초푸드마켓,부산 북구 덕천1동,2019,152478909,293596335,96638055,0,5893,152478909,54350,93,1042,17043,0
북구기초푸드마켓,부산 북구 덕천1동,2020,81783887,124373440.6,74853206,83854344,3544,81783887,39667,57,153,6578,0
북구기초푸드마켓,부산 북구 덕천1동,2021,110425207,357508649.4,354557990,30948011,7332,110425207,46380,82,278,16102,0
북구기초푸드뱅크,부산 북구 덕천3동,2017,293900631,788223394,1195481490,40010071,3473,293900631,124589,305,4045,55525,1
북구기초푸드뱅크,부산 북구 덕천3동,2019,396373776,1261767453,876762553,0,3682,396373776,179761,329,4244,49178,1
북구기초푸드뱅크,부산 북구 덕천3동,2020,227482358,743688506.8,544208501,0,2791,227482358,76973,206,2469,26444,1
북구기초푸드뱅크,부산 북구 덕천3동,2021,425118504,800669790.7,374726566,0,3094,425118504,126442,267,3562,47023,1
사상구기초푸드마켓,부산광역시 사상구 동주로 6-9,2017,297472090,254544241,214759477,15250000,6022,297472090,48928,384,1224,23526,1
사상구기초푸드마켓,부산광역시 사상구 동주로 6-9,2019,286671692,482182559.4,174815400,0,4224,286671692,35271,282,593,24865,1
사상구기초푸드마켓,부산광역시 사상구 동주로 6-9,2020,150520541,283089317,537541348,89868000,2105,150520541,34603,182,378,12762,1
사상구기초푸드마켓,부산광역시 사상구 동주로 6-9,2021,230351858,766925773.6,251380730,51480866,3586,230351858,40196,149,890,17269,1
사상구기초푸드뱅크,부산광역시 사상구 모라로192번길 20-33,2017,138320350,131836150,11749091,15183900,3331,138320350,68242,114,1804,24115,0
사상구기초푸드뱅크,부산광역시 사상구 모라로192번길 20-33,2019,142757900,173188706.9,37264440,5880324,3477,142757900,63127,136,2039,24474,0
사상구기초푸드뱅크,부산광역시 사상구 모라로192번길 20-33,2020,29037900,44258266.14,16154790,375500,2042,29037900,19150,79,727,8211,0
사상구기초푸드뱅크,부산광역시 사상구 모라로192번길 20-33,2021,85452300,122119979.7,38748765,0,3218,85452300,35962,104,1312,16097,0
사하구기초푸드마켓,부산광역시 사하구 다대로 544 진요빌딩(다대동),2017,131829002,138065079.2,67579165,461898,6667,131829002,49313,340,3924,24565,0
사하구기초푸드마켓,부산광역시 사하구 다대로 544 진요빌딩(다대동),2019,106629321,193210309.7,181729706,77731626,6366,106629321,45198,156,1422,23647,0
사하구기초푸드마켓,부산광역시 사하구 다대로 544 진요빌딩(다대동),2020,60093852,198049672.3,158387333,37133536,5350,60093852,21794,56,96,16702,0
사하구기초푸드마켓,부산광역시 사하구 다대로 544 진요빌딩(다대동),2021,53642563,188982349.6,182828519,432889,6274,53642563,25222,64,107,29668,0
서구기초푸드마켓,부산 서구 서대신동2가,2017,335459205.5,445596101.8,148983188,11928116,6768,335459205.5,50647,157,338,21822,0
서구기초푸드마켓,부산 서구 서대신동2가,2019,163507414,227034463.9,100705301,12000000,6732,163507414,17780,90,197,14913,0
서구기초푸드마켓,부산광역시 서구 구덕로346번길 28,2020,19294345,173873295.3,142038620,7119000,2411,19294345,3537,16,49,7422,0
서구기초푸드마켓,부산광역시 서구 구덕로346번길 28,2021,134681046,258799355.3,280566140,17912097,3942,134681046,165958,36,79,13961,0
서구기초푸드뱅크,부산 서구 암남동,2017,140363700,278062786,119266507,4025410,285,140363700,53505,89,275,605,0
서구기초푸드뱅크,부산 서구 암남동,2019,192742250,268270461.2,75571992,43800,264,192742250,74721,105,288,529,0
서구기초푸드뱅크,부산 서구 암남동,2020,64954300,80920022.03,18779717,0,177,64954300,27337,52,184,243,0
서구기초푸드뱅크,부산광역시 서구 구덕로346번길 28,2021,44114770,113864639.9,69193456,0,198,44114770,21955,50,87,439,0
수영구기초푸드마켓,부산광역시 수영구 연수로249번길 12-18,2017,66500951,139810568.9,134945361,80504915,4019,66500951,38923,99,319,15492,0
수영구기초푸드마켓,부산광역시 수영구 연수로249번길 12-18,2019,242445571,188751886.9,47854045,81668688,4093,242445571,192271,39,364,11447,0
수영구기초푸드마켓,부산광역시 수영구 연수로249번길 12-18,2020,289087767,301566284.1,49974823,67056521,2953,289087767,210700,35,348,11762,0
수영구기초푸드마켓,부산광역시 수영구 연수로249번길 12-18,2021,218474036,213439971.6,64333824,49957204,3519,218474036,149289,39,307,13670,0
수영구기초푸드뱅크,부산 수영구 망미동,2017,90239220,142869704,95160226,0,1683,90239220,32402,139,1153,8184,0
수영구기초푸드뱅크,부산 수영구 망미동,2019,149105110,188431116,39325995,0,4562,149105110,40544,178,1546,7968,0
수영구기초푸드뱅크,부산 수영구 망미동,2020,60923370,102840602.6,41917233,0,2235,60923370,15409,96,535,3731,0
수영구기초푸드뱅크,부산 수영구 망미동,2021,127482640,148947385.8,21551452,0,3743,127482640,35186,192,1405,8934,0
연제구기초푸드마켓,부산광역시 연제구 월드컵대로187번길 6,2017,13763900,1130450,42457600,0,30,13763900,1756,33,111,169,0
연제구기초푸드마켓,부산광역시 연제구 월드컵대로187번길 6,2019,78487693,708116994.5,683424661,0,2929,78487693,20332,108,190,6518,0
연제구기초푸드마켓,부산광역시 연제구 월드컵대로187번길 6,2020,92172250,210936287.5,278394499,140707147,2306,92172250,15544,95,220,3926,0
연제구기초푸드마켓,부산광역시 연제구 월드컵대로187번길 6,2021,52873540,144676979.4,114673874,104465399,2895,52873540,8723,89,104,4034,0
연제구기초푸드뱅크,부산 연제구 연산3동,2017,86170720,503310762.5,437240574,0,325,86170720,26166,119,119,1182,0
연제구기초푸드뱅크,부산 연제구 연산3동,2019,147072780,341118920.2,219484492,0,279,147072780,49285,147,1975,2642,0
연제구기초푸드뱅크,부산 연제구 연산3동,2020,151194890,342727123.2,34125101,0,241,151194890,53208,139,1661,3088,0
연제구기초푸드뱅크,부산광역시 연제구 봉수로 17,2021,97394310,124706525.8,31680688,0,297,97394310,42709,134,1286,1545,0
영도구기초푸드마켓,부산 영도구 동삼동,2017,62391833,133551772.6,132012275,1132090,5150,62391833,22031,185,1115,11867,0
영도구기초푸드마켓,부산 영도구 동삼동,2019,134084242,144726546.1,110576180,900000,5907,134084242,51638,65,485,9054,0
영도구기초푸드마켓,부산 영도구 동삼동,2020,104564785,144506834,169507999,471350,5957,104564785,272558,47,318,10126,0
영도구기초푸드마켓,부산 영도구 동삼동,2021,67083346,138993768.3,141771991,19692,5674,67083346,19695,25,315,7691,0
영도구기초푸드뱅크,부산 영도구 동삼3동,2017,74420394,135316432.5,74479704,0,13709,74420394,86534,64,87,47481,0
영도구기초푸드뱅크,부산 영도구 동삼3동,2019,46990570,74298325.43,30497522,0,12284,46990570,28575,59,265,41078,0
영도구기초푸드뱅크,부산 영도구 동삼3동,2020,65291600,130384787.9,66925058,1876886,12893,65291600,23622,50,197,40328,0
영도구기초푸드뱅크,부산 영도구 동삼3동,2021,37601250,90796268.72,53240011,0,10571,37601250,17050,48,195,26856,0
중구기초푸드마켓,부산 중구 영주동,2017,335437143,139864857.7,132697742,277251390,5214,335437143,175265,432,13801,31635,0
중구기초푸드마켓,부산 중구 영주동,2019,238602661,236700163.1,163154401,106869455,4640,238602661,149702,222,10611,41527,0
중구기초푸드마켓,부산 중구 영주동,2020,284639239,137750980.2,127993440,300016820,1953,284639239,159636,197,9920,15484,0
중구기초푸드마켓,부산 중구 영주동,2021,362868141,289897039.9,201520147,270392040,4267,362868141,226283,202,8328,40093,0
중구기초푸드뱅크,부산 중구 대청동4가,2017,60528860,378133512.6,298289700,0,174,60528860,24821,76,1034,28465,0
해운대기초푸드마켓,부산광역시 해운대구 재반로 79(재송동),2017,329029222,531689813.7,167918003,0,7142,329029222,128005,230,2458,24912,1
해운대기초푸드마켓,부산광역시 해운대구 재반로 79(재송동),2019,273178324,418123436.1,151588880,16867352,7648,273178324,95149,219,1654,24693,1
해운대기초푸드마켓,부산광역시 해운대구 재반로 79(재송동),2020,324316380,421375959.4,172694398,60970359,5598,324316380,93404,194,1336,20032,1
해운대기초푸드마켓,부산광역시 해운대구 재반로 79(재송동),2021,423550224,413706176.5,86349843,49375954,7875,423550224,105002,217,803,30636,1
해운대기초푸드뱅크,부산 해운대구 재송1동,2017,251652753,299552303,47899536,0,985,251652753,137557,162,3197,10156,1
해운대기초푸드뱅크,부산 해운대구 재송1동,2019,369710065,407069506.7,46655561,9296136,1184,369710065,174470,224,4793,16249,1
해운대기초푸드뱅크,부산 해운대구 재송1동,2020,542049942,667062331.4,139893506,10900000,327,542049942,175586,278,4876,5969,1
해운대기초푸드뱅크,부산 해운대구 재송1동,2021,639708386,784450164,146049627,3280111,434,639708386,273401,359,6049,7414,1
